,AGE,CUS_Month_Income,YEARS_WITH_US,# total debit transactions for S1,# total debit transactions for S2,# total debit transactions for S3,total debit amount for S1,total debit amount for S2,total debit amount for S3,# total credit transactions for S1,# total credit transactions for S2,# total credit transactions for S3,total credit amount for S1,total credit amount for S2,total credit amount for S3,total debit amount,total debit transactions,total credit amount,total credit transactions,total transactions,CUS_Target,CUS_Gender_MALE,CUS_Marital_Status_DIVORCE,CUS_Marital_Status_MARRIED,CUS_Marital_Status_OTHER,CUS_Marital_Status_PARTNER,CUS_Marital_Status_SINGLE,CUS_Marital_Status_WIDOWED,TAR_Desc_EXECUTIVE,TAR_Desc_LOW,TAR_Desc_MIDLE,TAR_Desc_PLATINUM,Status_ACTIVE
0,49,7116.64,25,277,265,345,1459126.64,1230543.08,2068641.91,10,24,31,1516981.1,1764079.61,2378592.62,4758311.63,887,5659653.33,65,952,2231,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,46,1500000.0,14,37,15,45,35372.55,20134.0,83856.67,2,4,4,10000.0,19500.0,57500.0,139363.22,97,87000.0,10,107,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2,53,5000000.0,14,31,14,8,28248.85,4777.66,4348.95,14,8,5,709625.0,240311.84,70946.86,37375.46,53,1020883.7,27,80,2222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
3,15,500.0,14,0,1,0,0.0,4000.0,0.0,5,4,3,30103.05,28089.99,18753.92,4000.0,1,76946.96,12,13,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
4,48,9000000.0,5,15,33,12,69083.38,223007.51,46379.4,8,7,6,195600.0,176000.0,70500.0,338470.29,60,442100.0,21,81,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
5,37,2556.0,14,113,138,239,735123.61,538514.0,610325.28,19,25,51,758585.68,539970.27,739082.52,1883962.89,490,2037638.47,95,585,2235,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
6,16,200000.0,14,3,0,0,8693.6,0.0,0.0,0,0,0,0.0,0.0,0.0,8693.6,3,0.0,0,3,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
7,39,10000000.0,14,128,150,144,596180.91,477478.63,404143.6,7,11,14,431653.01,492067.05,630958.47,1477803.14,422,1554678.53,32,454,2223,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8,46,15000000.0,14,214,362,301,772877.13,1461364.36,1006127.59,9,21,19,820952.0,1296021.03,1043510.33,3240369.08,877,3160483.36,49,926,2212,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
9,59,1500000.0,14,11,40,79,43400.0,128076.13,364208.55,0,5,7,0.0,130000.0,398046.93,535684.68,130,528046.93,12,142,2223,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10,64,2800000.0,14,35,35,57,85600.0,90400.0,96200.0,6,7,18,83621.28,97558.16,89690.88,272200.0,127,270870.32,31,158,2223,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
11,37,3000.0,14,1,0,2,693.6,0.0,5749.7,0,0,0,0.0,0.0,0.0,6443.3,3,0.0,0,3,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
12,51,1000000.0,14,32,10,22,77165.02,19400.0,53455.7,3,0,3,42633.4,0.0,12700.0,150020.72,64,55333.4,6,70,2222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
13,43,1000000.0,14,0,0,30,0.0,0.0,155663.32,0,0,0,0.0,0.0,0.0,155663.32,30,0.0,0,30,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
14,29,1000000.0,14,29,65,104,279015.0,112788.0,269577.78,12,12,16,202105.0,170423.0,498700.0,661380.78,198,871228.0,40,238,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
15,32,1500000.0,14,154,173,79,371737.66,758561.44,217791.76,15,15,9,322000.0,579000.0,135500.0,1348090.86,406,1036500.0,39,445,2222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
16,49,6131000.0,14,9,17,27,44002.0,98690.0,175193.5,1,3,4,145620.49,13400.0,161131.46,317885.5,53,320151.95,8,61,2222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
17,35,250000.0,14,68,247,248,54294.71,324883.59,513787.91,6,23,35,45140.0,265415.0,683220.97,892966.21,563,993775.97,64,627,2222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
18,18,1000000.0,14,32,56,130,192356.29,749951.48,353666.3,15,19,14,245976.4,622766.31,260565.1,1295974.07,218,1129307.81,48,266,2222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
19,16,500000.0,14,25,23,7,29294.98,102751.05,16560.0,6,10,1,18000.0,103000.0,3000.0,148606.03,55,124000.0,17,72,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
20,39,1000000.0,14,6,8,7,13398.64,11225.78,10796.44,6,7,6,1769855.6,1769317.5,1194230.45,35420.86,21,4733403.55,19,40,2212,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
21,30,2500000.0,14,135,76,36,764270.6,929922.75,592449.0,7,28,11,187800.0,490056.0,369480.0,2286642.35,247,1047336.0,46,293,2222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
22,41,2000000.0,14,20,15,17,76480.87,40088.12,77759.0,3,5,3,11330.0,65250.0,64200.0,194327.99,52,140780.0,11,63,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
23,43,6000000.0,14,94,85,77,160865.6,136756.71,108375.44,25,19,22,587245.05,699798.63,657956.54,405997.75,256,1945000.22,66,322,2222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
24,46,15000000.0,14,85,126,43,96979.71,209411.69,44106.45,5,8,2,57000.0,106500.0,9900.0,350497.85,254,173400.0,15,269,2223,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
25,75,12000.0,23,0,1,9,0.0,31850.0,254789.23,0,0,0,0.0,0.0,0.0,286639.23,10,0.0,0,10,2223,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
26,49,30000000.0,14,17,5,0,34230.98,54571.52,0.0,8,2,0,201500.0,56677.8,0.0,88802.5,22,258177.8,10,32,2222,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
27,66,0.0,14,0,3,11,0.0,9463.6,13700.0,0,2,4,0.0,9590.0,13650.0,23163.6,14,23240.0,6,20,2223,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
28,62,5648.12,23,24,62,84,74246.02,621965.93,678631.62,4,11,1,39600.0,167797.52,4500.0,1374843.57,170,211897.52,16,186,2232,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
29,20,2000000.0,14,0,1,0,0.0,800.0,0.0,0,0,0,0.0,0.0,0.0,800.0,1,0.0,0,1,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
30,77,2500.0,14,69,175,212,325814.63,1029869.57,973603.55,17,32,38,706833.41,1360115.6,3159066.29,2329287.75,456,5226015.3,87,543,2222,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
31,69,2500.0,14,8,5,0,30100.0,18700.0,0.0,7,6,7,30160.0,27693.0,31735.0,48800.0,13,89588.0,20,33,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
32,34,0.0,14,4,25,4,2485.0,59085.0,3950.0,0,0,1,0.0,0.0,19000.0,65520.0,33,19000.0,1,34,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
33,46,3000.0,14,107,116,131,72137.2,79050.0,89370.26,7,6,7,82556.16,76940.28,88470.15,240557.46,354,247966.59,20,374,2223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
34,82,3000.0,14,17,16,15,37800.0,34310.0,39644.73,7,6,7,37567.0,34407.0,39576.0,111754.73,48,111550.0,20,68,2223,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
